source,target,relation
PROF_0,ORG:Camberwell College Of Arts Ual,Studied at
PROF_0,EDU:Bachelor in Graphic Design,Has degree
PROF_0,SUBJECT:Arts UAL,Teaches
PROF_0,SUBJECT:Graphic Design,Teaches
PROF_0,ORG:A & M Studio,Worked at
PROF_0,ORG:Becquerel Capital,Worked at
PROF_0,ORG:The Hub,Worked at
PROF_0,LOC:Hong Kong,Worked in
PROF_0,LOC:Mexico,Worked in
PROF_0,LOC:Spain,Worked in
PROF_1,ORG:Brown University,Studied at
PROF_1,ORG:Electrical Engineering,Studied at
PROF_1,ORG:Kent State University,Studied at
PROF_1,ORG:Youngstown State University,Studied at
PROF_1,EDU:M.A,Has degree
PROF_1,EDU:M.B.A,Has degree
PROF_1,SUBJECT:HR Leadership,Teaches
PROF_1,ORG:Bemis Co,Worked at
PROF_1,ORG:Cameron A Schlumberger Co,Worked at
PROF_1,ORG:Jet Research Center,Worked at
PROF_1,ORG:Millwood Inc,Worked at
PROF_1,ORG:Process Technology,Worked at
PROF_1,ORG:Sigma Black Belt,Worked at
PROF_1,ORG:Six Sigma Black Belt,Worked at
PROF_1,ORG:Six Sigma Lean Manufacturing,Worked at
PROF_1,LOC:Black Belt,Worked in
PROF_1,LOC:G. E.,Worked in
PROF_1,LOC:Halliburton,Worked in
PROF_1,LOC:Masteelisa,Worked in
PROF_1,LOC:United States,Worked in
PROF_2,ORG:College Of Europe,Studied at
PROF_2,ORG:Department Of State,Studied at
PROF_2,ORG:European Commission,Worked at
PROF_2,ORG:University Of Valladolid,Studied at
PROF_2,ORG:Université Libre De Bruxe,Studied at
PROF_2,EDU:B.S,Has degree
PROF_2,SUBJECT:EU Law,Teaches
PROF_2,SUBJECT:State,Teaches
PROF_2,SUBJECT:Valladolid,Teaches
PROF_2,ORG:Bird & Bird Law Firm,Worked at
PROF_2,ORG:Competition Law,Worked at
PROF_2,ORG:Creddia Advisors,Worked at
PROF_2,ORG:Eu Affairs,Worked at
PROF_2,ORG:Galician Government,Worked at
PROF_2,ORG:Telecommunications Regulatory Authority,Worked at
PROF_2,ORG:Ulatory Issues,Worked at
PROF_2,LOC:Belgium,Worked in
PROF_2,LOC:Brussels,Worked in
PROF_2,LOC:Spain,Worked in
PROF_3,ORG:Academic Ba,Studied at
PROF_3,ORG:Comillas Pontifical University,Studied at
PROF_3,ORG:Stanford University,Studied at
PROF_3,ORG:Universidad Pontificia Comillas,Studied at
PROF_3,ORG:University Of The Andes,Studied at
PROF_3,EDU:Bachelor in Economics and Business Administration,Has degree
PROF_3,EDU:Master in Auditing,Has degree
PROF_3,SUBJECT:Auditing,Teaches
PROF_3,SUBJECT:Buddhist Studies,Teaches
PROF_3,SUBJECT:Economics and Business Administration,Teaches
PROF_3,ORG:Embassy Of Colombia,Worked at
PROF_3,ORG:Government Of Colombia,Worked at
PROF_3,ORG:Harvard Strategy Consulting,Worked at
PROF_3,ORG:Independent Consulting,Worked at
PROF_3,ORG:Plan Colombia Europe,Worked at
PROF_3,ORG:Women S World Banking Co.,Worked at
PROF_3,LOC:Spain,Worked in
PROF_4,ORG:Universidad De O,Worked at
PROF_4,ORG:Universidad Politécnica De Madrid,Studied at
PROF_4,EDU:Ph.D,Has degree
PROF_4,SUBJECT:Automation and Robotics,Teaches
PROF_4,ORG:Arizona State University,Worked at
PROF_4,ORG:Autonomous System Technologies Research & Integration Laboratory,Worked at
PROF_4,ORG:Centre For Automation And Robotics,Worked at
PROF_4,ORG:Massachusetts Institute Of Technology,Worked at
PROF_4,ORG:Te Quant,Worked at
PROF_4,LOC:Ets,Worked in
PROF_4,LOC:Pel,Worked in
PROF_4,LOC:Spain,Worked in
PROF_4,LOC:United States,Worked in
PROF_4,LOC:Viedo,Worked in
PROF_5,ORG:Universidad Politécnica De Madrid,Studied at
PROF_5,EDU:MBA,Has degree
PROF_5,SUBJECT:Industrial Engineering - Automation and Robotics,Teaches
PROF_5,ORG:Boston Consulting Group,Worked at
PROF_5,ORG:Digital Transformation,Worked at
PROF_5,ORG:Havas Digital,Worked at
PROF_5,ORG:Tmt Industries,Worked at
PROF_5,LOC:Alat,Worked in
PROF_5,LOC:Ccenture,Worked in
PROF_5,LOC:Neoris,Worked in
PROF_5,LOC:Spain,Worked in
PROF_5,LOC:Uae,Worked in
PROF_6,ORG:Columbia University,Studied at
PROF_6,ORG:Georgetown Leadership,Studied at
PROF_6,ORG:Georgetown University,Studied at
PROF_6,ORG:Harvard University,Studied at
PROF_6,ORG:Pompeu Fabra University,Studied at
PROF_6,ORG:Universidad Pontificia Comillas,Studied at
PROF_6,ORG:Universidad Pontificia De Comillas,Studied at
PROF_6,EDU:MSc,Has degree
PROF_6,EDU:Master in Highly Regulated Industries,Has degree
PROF_6,SUBJECT:Economics,Teaches
PROF_6,SUBJECT:Highly Regulated Industries,Teaches
PROF_6,SUBJECT:Negotiation and Conflict Resolution,Teaches
PROF_6,SUBJECT:Science,Teaches
PROF_6,ORG:Elcano Royal Institute,Worked at
PROF_6,ORG:Management Solutions,Worked at
PROF_6,ORG:United Nations,Worked at
PROF_6,LOC:Spain,Worked in
PROF_6,LOC:United States,Worked in
PROF_7,ORG:And Applied Mathematics,Studied at
PROF_7,ORG:Universidad Autónoma De Madrid,Studied at
PROF_7,ORG:University Of Wrocaw,Studied at
PROF_7,EDU:Bachelor in Mathematics,Has degree
PROF_7,EDU:Master in Pure and Applied Mathematics,Has degree
PROF_7,EDU:Ph.D,Has degree
PROF_7,SUBJECT:Mathematics,Teaches
PROF_7,SUBJECT:Pure and Applied Mathematics,Teaches
PROF_7,SUBJECT:Wroc,Teaches
PROF_8,ORG:Boston College,Studied at
PROF_8,ORG:College Of Europe,Studied at
PROF_8,ORG:En Fi,Studied at
PROF_8,ORG:European University Institute,Studied at
PROF_8,ORG:Iversitat Oberta De Catalun,Studied at
PROF_8,ORG:Ter Universitario De Abogacía,Studied at
PROF_8,ORG:Universidad Católica De Ávila,Studied at
PROF_8,ORG:Universidad Pontificia De Sal,Studied at
PROF_8,EDU:B.A,Has degree
PROF_8,EDU:LL.M,Has degree
PROF_8,EDU:M.A,Has degree
PROF_8,EDU:Ph.D,Has degree
PROF_8,SUBJECT:Comparative,Teaches
PROF_8,SUBJECT:European Political and European Studies,Teaches
PROF_8,SUBJECT:Laws,Teaches
PROF_8,SUBJECT:Philosophy,Teaches
PROF_8,ORG:Eu Focus Group,Worked at
PROF_8,ORG:European Parliament,Worked at
PROF_8,LOC:Aixa,Worked in
PROF_8,LOC:Belgium,Worked in
PROF_9,ORG:Technical University Of Cartagena,Studied at
PROF_9,EDU:MsC,Has degree
PROF_9,EDU:Ph.D,Has degree
PROF_9,SUBJECT:Artificial Intelligence,Teaches
PROF_9,SUBJECT:Cartagena,Teaches
PROF_9,ORG:Boeing Europe,Worked at
PROF_9,ORG:Pc Componentes,Worked at
PROF_9,LOC:Indra,Worked in
PROF_9,LOC:Minsait By,Worked in
PROF_9,LOC:Spain,Worked in
PROF_10,ORG:University Of Oxford,Studied at
PROF_10,SUBJECT:Arts in English and Spanish,Teaches
PROF_10,SUBJECT:Oxford,Teaches
PROF_10,ORG:Brunswick Arts,Worked at
PROF_10,ORG:Msl London,Worked at
PROF_10,ORG:Public Relations,Worked at
PROF_10,ORG:S Wells,Worked at
PROF_10,LOC:Ler,Worked in
PROF_10,LOC:London,Worked in
PROF_10,LOC:Madrid,Worked in
PROF_11,ORG:Centro Estudios Monetarios Y Financieros,Studied at
